Business,Address,Annual Consumption,Units,City,Province,Country,Year
1215 17 AV NW HOUSING,1215 17 AV NW,953,GJ,Calgary,Alberta,Canada,2022
121 FALTON DR NE HOUSING,121 FALTON DR NE,90,GJ,Calgary,Alberta,Canada,2022
1239 17 AV NW HOUSING,1239 17 AV NW,745,GJ,Calgary,Alberta,Canada,2022
123 ABALONE WY NE HOUSING,123 ABALONE WY NE,116,GJ,Calgary,Alberta,Canada,2022
123 ERIN MOUNT CR SE HOUSING,123 ERIN MOUNT CR SE,111,GJ,Calgary,Alberta,Canada,2022
123 FALTON DR NE HOUSING,123 FALTON DR NE,76,GJ,Calgary,Alberta,Canada,2022
126-130 ERIN DALE CR SE HOUSING,126 ERIN DALE CR SE,230,GJ,Calgary,Alberta,Canada,2022
127 ERIN MOUNT CR SE HOUSING,127 ERIN MOUNT CR SE,105,GJ,Calgary,Alberta,Canada,2022
128 HAVENHURST CR SW HOUSING,128 HAVENHURST CR SW,130,GJ,Calgary,Alberta,Canada,2022
12 ABBERCOVE DR SE HOUSING,12 ABBERCOVE DR SE,105,GJ,Calgary,Alberta,Canada,2022
12 ERIN RIDGE PL SE HOUSING,12 ERIN RIDGE PL SE,114,GJ,Calgary,Alberta,Canada,2022
1327 36 ST SE HOUSING,1327 36 ST SE,200,GJ,Calgary,Alberta,Canada,2022
132 FALTON DR NE HOUSING,132 FALTON DR NE,116,GJ,Calgary,Alberta,Canada,2022
1352 FALCONRIDGE DR NE HOUSING,1352 FALCONRIDGE DR NE,102,GJ,Calgary,Alberta,Canada,2022
#1-3 60 CEDARWOOD HL SW HOUSING,60 CEDARWOOD HL SW,242,GJ,Calgary,Alberta,Canada,2022
139 ERIN MOUNT CR SE HOUSING,139 ERIN MOUNT CR SE,123,GJ,Calgary,Alberta,Canada,2022
13 ERIN WOODS PL SE HOUSING,13 ERIN WOODS PL SE,106,GJ,Calgary,Alberta,Canada,2022
1404 & 1406 15 ST SE HOUSING,1406 15 ST SE,188,GJ,Calgary,Alberta,Canada,2022
1407 & 1409 16 ST SE HOUSING,1409 16 ST SE,142,GJ,Calgary,Alberta,Canada,2022
1408 & 1410 16 ST SE HOUSING,1410 16 ST SE,213,GJ,Calgary,Alberta,Canada,2022
140 ERIN GROVE CL SE HOUSING,140 ERIN GROVE CL SE,120,GJ,Calgary,Alberta,Canada,2022
140 FALTON CL NE HOUSING,140 FALTON CL NE,99,GJ,Calgary,Alberta,Canada,2022
1413 & 1415 16A ST SE HOUSING,1415 16A ST SE,141,GJ,Calgary,Alberta,Canada,2022
#14-18 7000 RANCHERO RD NW HOUSING,7000 RANCHERO RD NW,423,GJ,Calgary,Alberta,Canada,2022
1420 & 1420 16A ST SE HOUSING,1420 16A ST SE,182,GJ,Calgary,Alberta,Canada,2022
144 FALTON CL NE HOUSING,144 FALTON CL NE,93,GJ,Calgary,Alberta,Canada,2022
1451 21 AV SW HOUSING,1451 21 AV SW,5063,GJ,Calgary,Alberta,Canada,2022
15 & 19 DEERPOINT RD SE HOUSING,19 DEERPOINT RD SE,215,GJ,Calgary,Alberta,Canada,2022
152 ABINGDON CO NE HOUSING,152 ABINGDON CO NE,107,GJ,Calgary,Alberta,Canada,2022
155 & 157 FALTON DR NE HOUSING,155 FALTON DR NE,162,GJ,Calgary,Alberta,Canada,2022
159 & 161 FALTON DR NE HOUSING,159 FALTON DR NE,177,GJ,Calgary,Alberta,Canada,2022
15 RANCHERO GR NW HOUSING,15 RANCHERO GR NW,269,GJ,Calgary,Alberta,Canada,2022
160 FALTON DR NE HOUSING,160 FALTON DR NE,118,GJ,Calgary,Alberta,Canada,2022
#1-6 15 NORQUAY CO NW HOUSING,#1-6 15 NORQUAY CO NW,535,GJ,Calgary,Alberta,Canada,2022
1620 12 AV SW HOUSING,1620 12 AV SW,1976,GJ,Calgary,Alberta,Canada,2022
1631 4A ST NW HOUSING,1631 4A ST NW,107,GJ,Calgary,Alberta,Canada,2022
1635 6A ST NW HOUSING,1635 6A ST NW,68,GJ,Calgary,Alberta,Canada,2022
1636 4A ST NW HOUSING,1636 4A ST NW,65,GJ,Calgary,Alberta,Canada,2022
1636 6A ST NW HOUSING,1636 6A ST NW,85,GJ,Calgary,Alberta,Canada,2022
1636 6 ST NW HOUSING,1636 6 ST NW,71,GJ,Calgary,Alberta,Canada,2022
1636 7A ST NW HOUSING,1636 7A ST NW,98,GJ,Calgary,Alberta,Canada,2022
1636 8 ST NW HOUSING,1636 8 ST NW,41,GJ,Calgary,Alberta,Canada,2022
1636 9 ST NW HOUSING,1636 9 ST NW,68,GJ,Calgary,Alberta,Canada,2022
167 & 169 FALTON DR NE HOUSING,167 FALTON DR NE,151,GJ,Calgary,Alberta,Canada,2022
171 & 173 FALTON DR NE HOUSING,171 FALTON DR NE,282,GJ,Calgary,Alberta,Canada,2022
1712 35 ST SE HOUSING,1712 35 ST SE,1245,GJ,Calgary,Alberta,Canada,2022
171 ERIN MOUNT CR SE HOUSING,171 ERIN MOUNT CR SE,111,GJ,Calgary,Alberta,Canada,2022
1733 28 AV SW HOUSING,1733 28 AV SW,1580,GJ,Calgary,Alberta,Canada,2022
173 ERIN RIDGE RD SE HOUSING,173 ERIN RIDGE RD SE,113,GJ,Calgary,Alberta,Canada,2022
175 & 177 FALTON DR NE HOUSING,175 FALTON DR NE,171,GJ,Calgary,Alberta,Canada,2022
#1-7 7000 RANCHERO RD NW HOUSING,20 CASTLEGLEN RD NE,542,GJ,Calgary,Alberta,Canada,2022
18 & 20 CASTLEGLEN RD NE HOUSING,182 TEMPLEGREEN DR NE,230,GJ,Calgary,Alberta,Canada,2022
182 & 184 TEMPLEGREEN DR NE HOUSING,1827 16A ST SW,188,GJ,Calgary,Alberta,Canada,2022
1827 16A ST SW HOUSING,183 CEDARDALE RD SW,2191,GJ,Calgary,Alberta,Canada,2022
183 & 185 CEDARDALE RD SW HOUSING,11 1840 RANCHLANDS WY NW,219,GJ,Calgary,Alberta,Canada,2022
1840 RANCHLANDS WY NW HOUSING,187 FALSHIRE DR NE,1038,GJ,Calgary,Alberta,Canada,2022
187 FALSHIRE DR NE HOUSING,187 FALTON WY NE,109,GJ,Calgary,Alberta,Canada,2022
187 FALTON WY NE HOUSING,189 FALSHIRE DR NE,103,GJ,Calgary,Alberta,Canada,2022
189 FALSHIRE DR NE HOUSING,18 RADCLIFFE CR SE,135,GJ,Calgary,Alberta,Canada,2022
18 RADCLIFFE CR SE HOUSING,1918 8 AV SE,477,GJ,Calgary,Alberta,Canada,2022
1918 8 AV SE HOUSING,1920 29 ST SW,315,GJ,Calgary,Alberta,Canada,2022
1920 29 ST SW HOUSING,196 DOVERGLEN CR SE,1109,GJ,Calgary,Alberta,Canada,2022
#19-25 7000 RANCHERO RD NW HOUSING,200 DOVERGLEN CR SE,626,GJ,Calgary,Alberta,Canada,2022
194 & 196 DOVERGLEN CR SE HOUSING,19 ERIN GROVE CL SE,185,GJ,Calgary,Alberta,Canada,2022
198 & 200 DOVERGLEN CR SE HOUSING,19 RADCLIFFE CL SE,134,GJ,Calgary,Alberta,Canada,2022
19 ERIN GROVE CL SE HOUSING,19 RANCHERO GR NW,141,GJ,Calgary,Alberta,Canada,2022
19 RADCLIFFE CL SE HOUSING,#200 6704 6 ST SW,372,GJ,Calgary,Alberta,Canada,2022
19 RANCHERO GR NW HOUSING,#200 816 MCDOUGALL RD NE,399,GJ,Calgary,Alberta,Canada,2022
#200 6704 6 ST SW,2011 36 ST SE,326,GJ,Calgary,Alberta,Canada,2022
#200 816 MCDOUGALL RD NE HOUSING,204 DOVERGLEN CR SE,338,GJ,Calgary,Alberta,Canada,2022
2011 36 ST SE HOUSING,208 RADLEY PL SE,273,GJ,Calgary,Alberta,Canada,2022
202 & 204 DOVERGLEN CR SE HOUSING,#20-25 2730 19 AV SE,178,GJ,Calgary,Alberta,Canada,2022
202-208 RADLEY PL SE HOUSING,208 DOVERGLEN CR SE,328,GJ,Calgary,Alberta,Canada,2022
#20-25 2730 19 AV SE HOUSING,207 CEDARDALE RD SW,307,GJ,Calgary,Alberta,Canada,2022
206 & 208 DOVERGLEN CR SE HOUSING,207 ERIN MOUNT CR SE,143,GJ,Calgary,Alberta,Canada,2022
207 & 209 CEDARDALE RD SW HOUSING,207 FALDALE CL NE,238,GJ,Calgary,Alberta,Canada,2022
207 ERIN MOUNT CR SE HOUSING,208 ERIN CROFT CR SE,141,GJ,Calgary,Alberta,Canada,2022
207 FALDALE CL NE HOUSING,20 ERIN CROFT GR SE,103,GJ,Calgary,Alberta,Canada,2022
208 ERIN CROFT CR SE HOUSING,20 FALTON ME NE,77,GJ,Calgary,Alberta,Canada,2022
20 ERIN CROFT GR SE HOUSING,20 LINCOLN WY SW,107,GJ,Calgary,Alberta,Canada,2022
20 FALTON ME NE HOUSING,20 PENWORTH CL SE,111,GJ,Calgary,Alberta,Canada,2022
20 LINCOLN WY SW HOUSING,210 15 AV NE,2046,GJ,Calgary,Alberta,Canada,2022
20 PENWORTH CL SE HOUSING,212 DOVERGLEN CR SE,137,GJ,Calgary,Alberta,Canada,2022
210 15 AV NE HOUSING,21 FALBURY CR NE,485,GJ,Calgary,Alberta,Canada,2022
210 & 212 DOVERGLEN CR SE HOUSING,2222 VERMILLION ST NE,132,GJ,Calgary,Alberta,Canada,2022
21 & 23 FALBURY CR NE HOUSING,24 CASTLEGLEN RD NE,160,GJ,Calgary,Alberta,Canada,2022
2222 VERMILLION ST NE HOUSING,22 CASTLEPARK WY NE,2277,GJ,Calgary,Alberta,Canada,2022
22 & 24 CASTLEGLEN RD NE HOUSING,2226 30 ST SW,172,GJ,Calgary,Alberta,Canada,2022
22 & 24 CASTLEPARK WY NE HOUSING,2234 30 ST SW,208,GJ,Calgary,Alberta,Canada,2022
2226-2230 30 ST SW HOUSING,2240 30 ST SW,216,GJ,Calgary,Alberta,Canada,2022
2234-2238 30 ST SW HOUSING,225 14 AV SW,264,GJ,Calgary,Alberta,Canada,2022
2240 & 2242 30 ST SW HOUSING,230 5 AV SE,132,GJ,Calgary,Alberta,Canada,2022
225 14 AV SW HOUSING,27 DEERPOINT RD SE,703,GJ,Calgary,Alberta,Canada,2022
230 5 AV SE HOUSING & 433 MACLEOD TR SE HOUSING,236 RADLEY PL SE,16512,GJ,Calgary,Alberta,Canada,2022
23 & 27 DEERPOINT RD SE HOUSING,23 FALCHURCH PL NE,167,GJ,Calgary,Alberta,Canada,2022
236 RADLEY PL SE HOUSING,2431 39 ST SE,477,GJ,Calgary,Alberta,Canada,2022
23 FALCHURCH PL NE HOUSING,2443 48 ST SE,128,GJ,Calgary,Alberta,Canada,2022
2431 39 ST SE HOUSING,2444 47 ST SE,142,GJ,Calgary,Alberta,Canada,2022
2441-2445 48 ST SE HOUSING,247 PENSVILLE CL SE,281,GJ,Calgary,Alberta,Canada,2022
2442 & 2444 47 ST SE HOUSING,249 ABALONE PL NE,190,GJ,Calgary,Alberta,Canada,2022
247 PENSVILLE CL SE HOUSING,2513 14 AV SE,67,GJ,Calgary,Alberta,Canada,2022
249 & 251 ABALONE PL NE HOUSING,2712 41 ST SE,178,GJ,Calgary,Alberta,Canada,2022
2513 14 AV SE HOUSING,2804 13 AV SE,297,GJ,Calgary,Alberta,Canada,2022
2712 41 ST SE HOUSING,4303 DOVERWOOD PL SE,137,GJ,Calgary,Alberta,Canada,2022
2804 13 AV SE HOUSING,281 PENSVILLE CL SE,494,GJ,Calgary,Alberta,Canada,2022
2804 41 ST SE HOUSING,28 ABINGDON CO NE,143,GJ,Calgary,Alberta,Canada,2022
281 PENSVILLE CL SE HOUSING,28 FALTON RI NE,104,GJ,Calgary,Alberta,Canada,2022
28 ABINGDON CO NE HOUSING,28 FONDA DR SE,108,GJ,Calgary,Alberta,Canada,2022
28 FALTON RI NE HOUSING,28 RADCLIFFE CO SE,119,GJ,Calgary,Alberta,Canada,2022
28 FONDA DR SE HOUSING,29 TEMPLETON BA NE,576,GJ,Calgary,Alberta,Canada,2022
28 RADCLIFFE CO SE HOUSING,29 ERIN RIDGE RD SE,344,GJ,Calgary,Alberta,Canada,2022
29 & 31 TEMPLETON BA NE HOUSING,3004 29A ST SE,205,GJ,Calgary,Alberta,Canada,2022
29 ERIN RIDGE RD SE HOUSING,3005 30A ST SE,118,GJ,Calgary,Alberta,Canada,2022
3004 29A ST SE HOUSING,3007 28A ST SE,193,GJ,Calgary,Alberta,Canada,2022
3005 30A ST SE HOUSING,3008 29A ST SE,90,GJ,Calgary,Alberta,Canada,2022
3007 28A ST SE HOUSING,3011 32A ST SE,91,GJ,Calgary,Alberta,Canada,2022
3008 29A ST SE HOUSING,3009 30A ST SE,107,GJ,Calgary,Alberta,Canada,2022
3009 & 3011 32A ST SE HOUSING,3012 33A ST SE,241,GJ,Calgary,Alberta,Canada,2022
3009 30A ST SE HOUSING,3011 28A ST SE,121,GJ,Calgary,Alberta,Canada,2022
3010 & 3012 33A ST SE HOUSING,3011 30A ST SE,181,GJ,Calgary,Alberta,Canada,2022
3011 28A ST SE HOUSING,3012 29A ST SE,84,GJ,Calgary,Alberta,Canada,2022
3011 30A ST SE HOUSING,303 FALCONRIDGE CR NE,250,GJ,Calgary,Alberta,Canada,2022
3012 29A ST SE HOUSING,3013 28A ST SE,242,GJ,Calgary,Alberta,Canada,2022
301-313 FALCONRIDGE CR NE HOUSING,3015 32A ST SE,565,GJ,Calgary,Alberta,Canada,2022
3013 28A ST SE HOUSING,3014 29A ST SE,236,GJ,Calgary,Alberta,Canada,2022
3013 & 3015 32A ST SE HOUSING,3016 33A ST SE,239,GJ,Calgary,Alberta,Canada,2022
3014 29A ST SE HOUSING,3016 23 AV SW,169,GJ,Calgary,Alberta,Canada,2022
3014 & 3016 33A ST SE HOUSING,3019 32A ST SE,206,GJ,Calgary,Alberta,Canada,2022
3016-3028 23 AV SW HOUSING,3017 30A ST SE,302,GJ,Calgary,Alberta,Canada,2022
3017 & 3019 32A ST SE HOUSING,3020 33A ST SE,282,GJ,Calgary,Alberta,Canada,2022
3017 30A ST SE HOUSING,3019 28A ST SE,166,GJ,Calgary,Alberta,Canada,2022
3018 & 3020 33A ST SE HOUSING,3020 29A ST SE,227,GJ,Calgary,Alberta,Canada,2022
3019 28A ST SE HOUSING,3021 30A ST SE,210,GJ,Calgary,Alberta,Canada,2022
3020 29A ST SE HOUSING,30 TEMPLEBY WY NE,191,GJ,Calgary,Alberta,Canada,2022
3021 30A ST SE HOUSING,#30-35 2730 19 AV SE,211,GJ,Calgary,Alberta,Canada,2022
30 & 32 TEMPLEBY WY NE HOUSING,303 57 AV SW,178,GJ,Calgary,Alberta,Canada,2022
#30-35 2730 19 AV SE HOUSING,308 15 AV NE,303,GJ,Calgary,Alberta,Canada,2022
303 57 AV SW HOUSING,315 WHITLOCK WY NE,8084,GJ,Calgary,Alberta,Canada,2022
308 15 AV NE HOUSING,31 DEERPOINT RD SE,917,GJ,Calgary,Alberta,Canada,2022
313 & 315 WHITLOCK WY NE HOUSING,315 FALCONRIDGE CR NE,177,GJ,Calgary,Alberta,Canada,2022
31 & 35 DEERPOINT RD SE HOUSING,316 20 AV SW,184,GJ,Calgary,Alberta,Canada,2022
315-325 FALCONRIDGE CR NE HOUSING,321 WHITLOCK WY NE,399,GJ,Calgary,Alberta,Canada,2022
316 20 AV SW HOUSING,31 FAY RD SE,1592,GJ,Calgary,Alberta,Canada,2022
319 & 321 WHITLOCK WY NE HOUSING,3202 30A AV SE,168,GJ,Calgary,Alberta,Canada,2022
31 FAY RD SE HOUSING,3202 32A AV SE,123,GJ,Calgary,Alberta,Canada,2022
3202 30A AV SE HOUSING,3203 33A AV SE,72,GJ,Calgary,Alberta,Canada,2022
3202 32A AV SE HOUSING,3206 32A AV SE,100,GJ,Calgary,Alberta,Canada,2022
3203 33A AV SE HOUSING,3207 31A AV SE,94,GJ,Calgary,Alberta,Canada,2022
3206 32A AV SE HOUSING,3207 33A AV SE,135,GJ,Calgary,Alberta,Canada,2022
3207 31A AV SE HOUSING,3208 32A AV SE,90,GJ,Calgary,Alberta,Canada,2022
3207 33A AV SE HOUSING,3209 31A AV SE,76,GJ,Calgary,Alberta,Canada,2022
3208 32A AV SE HOUSING,3211 33A AV SE,228,GJ,Calgary,Alberta,Canada,2022
3209 & 3211 31A AV SE HOUSING,3212 32A AV SE,133,GJ,Calgary,Alberta,Canada,2022
3211 33A AV SE HOUSING,3213 33A AV SE,222,GJ,Calgary,Alberta,Canada,2022
3212 32A AV SE HOUSING,3213A 31A AV SE,200,GJ,Calgary,Alberta,Canada,2022
3213 33A AV SE HOUSING,3215 31A AV SE,172,GJ,Calgary,Alberta,Canada,2022
3213A & 3213B 31A AV SE HOUSING,3216 30A AV SE,173,GJ,Calgary,Alberta,Canada,2022
3215 & 3217 31A AV SE HOUSING,3216 32A AV SE,140,GJ,Calgary,Alberta,Canada,2022
3216 30A AV SE HOUSING,3217 33A AV SE,240,GJ,Calgary,Alberta,Canada,2022
3216 32A AV SE HOUSING,3219 31A AV SE,243,GJ,Calgary,Alberta,Canada,2022
3217 33A AV SE HOUSING,3222 30A AV SE,194,GJ,Calgary,Alberta,Canada,2022
3219 31A AV SE HOUSING,3229 56 ST NE,239,GJ,Calgary,Alberta,Canada,2022
3222 30A AV SE HOUSING,325 10 ST NW,115,GJ,Calgary,Alberta,Canada,2022
3229 56 ST NE HOUSING,327 FALCONRIDGE CR NE,1201,GJ,Calgary,Alberta,Canada,2022
325 10 ST NW HOUSING,327 FALSHIRE DR NE,4867,GJ,Calgary,Alberta,Canada,2022
327-339 FALCONRIDGE CR NE HOUSING,32 RADCLIFFE CO SE,575,GJ,Calgary,Alberta,Canada,2022
327 FALSHIRE DR NE HOUSING,330 2 AV NE,151,GJ,Calgary,Alberta,Canada,2022
32 RADCLIFFE CO SE HOUSING,333 17 AV NW,184,GJ,Calgary,Alberta,Canada,2022
330 2 AV NE HOUSING,339 FALSHIRE WY NE,2031,GJ,Calgary,Alberta,Canada,2022
333 17 AV NW HOUSING,3401 CENTRE ST NW,1840,GJ,Calgary,Alberta,Canada,2022
339 FALSHIRE WY NE HOUSING,343 WHITLOCK WY NE,87,GJ,Calgary,Alberta,Canada,2022
3401 CENTRE ST NW HOUSING,36 FALMEAD BA NE,654,GJ,Calgary,Alberta,Canada,2022
341 & 343 WHITLOCK WY NE HOUSING,3454 30A AV SE,186,GJ,Calgary,Alberta,Canada,2022
34 & 36 FALMEAD BA NE HOUSING,3456 30A AV SE,201,GJ,Calgary,Alberta,Canada,2022
3454 30A AV SE HOUSING,3456 32A AV SE,150,GJ,Calgary,Alberta,Canada,2022
3456 30A AV SE HOUSING,3461 31A AV SE,229,GJ,Calgary,Alberta,Canada,2022
3456 32A AV SE HOUSING,3461 33A AV SE,157,GJ,Calgary,Alberta,Canada,2022
3461 31A AV SE HOUSING,3462 30A AV SE,235,GJ,Calgary,Alberta,Canada,2022
3461 33A AV SE HOUSING,3462 32A AV SE,199,GJ,Calgary,Alberta,Canada,2022
3462 30A AV SE HOUSING,3463 33A AV SE,204,GJ,Calgary,Alberta,Canada,2022
3462 32A AV SE HOUSING,3466 30 AV SE,210,GJ,Calgary,Alberta,Canada,2022
3463 33A AV SE HOUSING,3464 32A AV SE,222,GJ,Calgary,Alberta,Canada,2022
3466 30A AV SE HOUSING,3467 31A AV SE,238,GJ,Calgary,Alberta,Canada,2022
3466 32A AV SE HOUSING,3469 33A AV SE,234,GJ,Calgary,Alberta,Canada,2022
3467 31A AV SE HOUSING,3470 30A AV SE,211,GJ,Calgary,Alberta,Canada,2022
3469 33A AV SE HOUSING,3473 33A AV SE,204,GJ,Calgary,Alberta,Canada,2022
3470 30A AV SE HOUSING,3474 30A AV SE,110,GJ,Calgary,Alberta,Canada,2022
3473 33A AV SE HOUSING,3477 33A AV SE,104,GJ,Calgary,Alberta,Canada,2022
3474 30A AV SE HOUSING,34 ERIN RIDGE PL SE,80,GJ,Calgary,Alberta,Canada,2022
3477 33A AV SE HOUSING,3534 CEDARILLE DR SW,107,GJ,Calgary,Alberta,Canada,2022
34 ERIN RIDGE PL SE HOUSING,3542 CEDARILLE DR SW,79,GJ,Calgary,Alberta,Canada,2022
3534 & 3536 CEDARILLE DR SW HOUSING,3546 CEDARILLE DR SW,347,GJ,Calgary,Alberta,Canada,2022
3542 & 3544 CEDARILLE DR SW HOUSING,359 WHITLOCK WY NE,202,GJ,Calgary,Alberta,Canada,2022
3546 & 3548 CEDARILLE DR SW HOUSING,3601 28 AV SE,252,GJ,Calgary,Alberta,Canada,2022
357 & 359 WHITLOCK WY NE HOUSING,3605 28 AV SE,158,GJ,Calgary,Alberta,Canada,2022
3601 & 3603 28 AV SE HOUSING,3609 28 AV SE,170,GJ,Calgary,Alberta,Canada,2022
3605 & 3607 28 AV SE HOUSING,3610 CEDARILLE DR SW,185,GJ,Calgary,Alberta,Canada,2022
3609 & 3611 28 AV SE HOUSING,3613 28 AV SE,156,GJ,Calgary,Alberta,Canada,2022
3610 & 3612 CEDARILLE DR SW HOUSING,3617 28 AV SE,192,GJ,Calgary,Alberta,Canada,2022
3613 & 3615 28 AV SE HOUSING,3621 28 AV SE,183,GJ,Calgary,Alberta,Canada,2022
3617 & 3619 28 AV SE HOUSING,3625 28 AV SE,150,GJ,Calgary,Alberta,Canada,2022
3621 & 3623 28 AV SE HOUSING,3629 28 AV SE,131,GJ,Calgary,Alberta,Canada,2022
3625 & 3627 28 AV SE HOUSING,3633 28 AV SE,198,GJ,Calgary,Alberta,Canada,2022
3629 & 3631 28 AV SE HOUSING,36 ABINGDON CO NE,142,GJ,Calgary,Alberta,Canada,2022
3633 & 3635 28 AV SE HOUSING,36 RADCLIFFE CO SE,157,GJ,Calgary,Alberta,Canada,2022
36 ABINGDON CO NE HOUSING,37 ERIN RIDGE RD SE,104,GJ,Calgary,Alberta,Canada,2022
36 RADCLIFFE CO SE HOUSING,3824 PARKHILL PL SW,450,GJ,Calgary,Alberta,Canada,2022
37 ERIN RIDGE RD SE HOUSING,40 FALMEAD BA NE,70,GJ,Calgary,Alberta,Canada,2022
3824 PARKHILL PL SW HOUSING,3902 44 AV NE,441,GJ,Calgary,Alberta,Canada,2022
38 & 40 FALMEAD BA NE HOUSING,43 DEERPOINT RD SE,141,GJ,Calgary,Alberta,Canada,2022
3902 & 3904 44 AV NE HOUSING,39 FALSHIRE WY NE,251,GJ,Calgary,Alberta,Canada,2022
39 & 43 DEERPOINT RD SE HOUSING,4006 WORCESTER DR SW,142,GJ,Calgary,Alberta,Canada,2022
39 FALSHIRE WY NE HOUSING,4012 WORCESTER DR SW,97,GJ,Calgary,Alberta,Canada,2022
4006 WORCESTER DR SW HOUSING,4018 WORCESTER DR SW,328,GJ,Calgary,Alberta,Canada,2022
4012 WORCESTER DR SW HOUSING,40 38A AV SW,380,GJ,Calgary,Alberta,Canada,2022
4018 WORCESTER DR SW HOUSING,#40-45 2730 19 AV SE,362,GJ,Calgary,Alberta,Canada,2022
40 38A AV SW HOUSING,411 14 ST NW,2471,GJ,Calgary,Alberta,Canada,2022
#40-45 2730 19 AV SE HOUSING,41 FALBURY CR NE,325,GJ,Calgary,Alberta,Canada,2022
411 14 ST NW HOUSING,419 ABADAN PL NE,6834,GJ,Calgary,Alberta,Canada,2022
41 & 43 FALBURY CR NE HOUSING,424 2 AV NE,174,GJ,Calgary,Alberta,Canada,2022
419 ABADAN PL NE HOUSING,4303 WHITEHORN DR NE,103,GJ,Calgary,Alberta,Canada,2022
424 2 AV NE HOUSING,4307 DOVERWOOD PL SE,1307,GJ,Calgary,Alberta,Canada,2022
4303 & 4307 WHITEHORN DR NE HOUSING,4308 DOVERWOOD PL SE,165,GJ,Calgary,Alberta,Canada,2022
4307 DOVERWOOD PL SE HOUSING,4312 DOVERWOOD PL SE,166,GJ,Calgary,Alberta,Canada,2022
4308 DOVERWOOD PL SE HOUSING,4311 WHITEHORN DR NE,179,GJ,Calgary,Alberta,Canada,2022
4310 DOVERWOOD PL SE HOUSING,4311 DOVERWOOD PL SE,154,GJ,Calgary,Alberta,Canada,2022
4311 & 4315 WHITEHORN DR NE HOUSING,4313 DOVERWOOD PL SE,145,GJ,Calgary,Alberta,Canada,2022
4311 DOVERWOOD PL SE HOUSING,4314 DOVERWOOD PL SE,139,GJ,Calgary,Alberta,Canada,2022
4313 DOVERWOOD PL SE HOUSING,4317 DOVERWOOD PL ASE,187,GJ,Calgary,Alberta,Canada,2022
4314 DOVERWOOD PL SE HOUSING,4318 DOVERWOOD PL SE,138,GJ,Calgary,Alberta,Canada,2022
